tempi_rosta
108.6
101.8
103.6
102.6
103.6
104.5
102.6
104.5
104.5
103.6
100.8
100.8
101.8
100.3
105.7
99
101.3
103.6
104.5
103.6
106.3
103.6
104.5
104.5
106.2
105.3
102.6
104.5
102.6
104.5
105.3
105.3
100.3
105.3
103.6
105.6
103.6
104.5
105.7
105.7
106.2
101.8
102.6
105.7
103.6
99.4
101.3
102.6
101.3
103.6
101.3
102.6
102.6
101.8
106.2
102.6
100.8
101.8
105.3
105.3
101.3
100.3
103.6
100.8
106.2
105.3
101.8
102.6
101.8
107.3
101.8
105.7
104.5
101.8
106.2
107.3
101.8
102.6
105.7
102.6
105.3
102.6
103.6
100.8
104.5
104.5
102.6
103.6
102.6
107.3
105.7
102.9
102.6
103.6
103.6
101.3
103.6
101.3
105.7
103.6
